"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";
"C2";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";
"C3";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";
"C4";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";
"C5";"22pF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";
"C6";"10uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";
"C7";"10uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";
"D1";"1N5819HW";"1N5819HW";"SOD-123";"1N5819HW";"";"";
"IC1";"UA78M05DCY";"UA78M05DCY";"SOT223";"POSITIVE-VOLTAGE REGULATORS";"";"";
"J1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP1";"Bateria";"M03JST-SMD";"JST-3-SMD";"Header 3";"";"";
"JP2";"Sensor";"M03JST-SMD";"JST-3-SMD";"Header 3";"";"";
"LED1";"7-SEGMENT-4DIGIT-YOUNGSUN";"7-SEGMENT-4DIGIT-YOUNGSUN";"7-SEGMENT-4DIGIT-YOUNGSUN";"This is a part for the 4-Digit 7-segment LEDs from Young Sun.  Different from the Digikey LEDs, all 16 pins are used.";"";"";
"Q1";"PMBT3906";"TRANSISTOR_PNPPMBT3906";"SOT23-3";"Generic PNP BJT";"TRANS-08052";"PMBT3906";
"Q2";"PMBT3906";"TRANSISTOR_PNPPMBT3906";"SOT23-3";"Generic PNP BJT";"TRANS-08052";"PMBT3906";
"Q3";"PMBT3906";"TRANSISTOR_PNPPMBT3906";"SOT23-3";"Generic PNP BJT";"TRANS-08052";"PMBT3906";
"Q4";"PMBT3906";"TRANSISTOR_PNPPMBT3906";"SOT23-3";"Generic PNP BJT";"TRANS-08052";"PMBT3906";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R2";"4.7K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"R3";"4.7K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"R4";"4.7K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"R5";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R6";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R7";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R8";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R9";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R10";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R11";"";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R12";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";
"R13";"4.7K";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"R14";"";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"R15";"160";"R-US_R1206";"R1206";"RESISTOR, American symbol";"";"";
"S1";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";
"S2";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"SWCH-08261";"";
"S3";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"Various NO switches- pushbuttons, reed, etc";"";"";
"U1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"32-Pin Atmega328 part";"IC-09069";"ATMEGA328P";
"Y1";"16Mhz";"CRYSTALHC49US";"HC49US";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";
